Pnum,NoNotes,Age,Gender,method,TestGroup,video,IDtime,Meta1,Meta2,Meta3,Meta4,Meta5,Motivetime,M1,M2,M3,Motivation,vocabtime,vocab,SDLtime,SDL,Aftime,AFOQT,Cftime,CF1,CF2,CF3,CF4,CF5,CF6,WPM,Test1time,Test1F,Test1C,Test1Tot,Test2time,Test2F,Test2C,Test2Tot,TRF,TRC,TRT,Test1MOf,Test1MOc,Test1MOt,Test2MOf,Test2MOc,Test2MOt,wordcount,overlap,CorrIUs,IncorrIUs,Efficency,Survery_Method,Survey_GPA
1,0,19,1,1,2,3,18.5625, , , , , ,7.387037,4.166667,5.833333,5.666667,2,4816.346325,50,4.921667,3.3,27.976667,5,2.44391,3.8,2.444444,3.125,3.857143,3.555556,2.888889,32.6, , , , ,5.375833,0.142857,0.166667,0.15,0.428571,0.666667,0.5, , , ,0.142857,0.166667,0.15,97,0.06,14,0,6.928571429,1,4
2,0,19,1,1,1,1,18.260833, , , , , ,5.687963,3,5.333333,4.833333,2,3747.158275,85,6.946667,2.8,42.476191,86.666667,2.61859,3.7,3.555556,3,3.285714,3.444444,3.111111,65.6,5.771111,0.5,0.666667,0.55,5.468889,0.571429,0.5,0.55,0.2,0,0.153846,0.666667,0.666667,0.666667,0.666667,0.5,0.6,87,0.08,12,1,7.25,1,5
3,0,22,0,2,1,2,29.128056, , , , , ,16.060185,4.5,5.666667,4.333333,2,12021.07375,40,11.703333,3.2,21.948333,15,4.648077,3.2,3.666667,2.875,3.714286,3.888889,3.444444,14,5.307778,0.153846,0.142857,0.15,5.973889,0.153846,0.285714,0.2,0.125,0.25,0.166667,0.1,0.142857,0.117647,0.1,0.285714,0.176471,78,0,3,2,26,1,1
4,0,18,1,2,2,1,18.115278, , , , , ,5.065741,6.5,6.333333,6.166667,1,4736.7614,60,4.15,3.3,28.6875,20,2.528846,4.1,3.555556,3.375,3.714286,4.333333,3.333333,39.4, , , , ,4.151944,0.285714,0,0.2,0.1,0.333333,0.153846, , , ,0.333333,0,0.2,44,0.18,2,0,22,1,4
5,0,20,1,2,2,4,17.482222, , , , , ,4.772222,6.5,5.833333,6.5,0,4020.91375,72.5,3.031667,4.6,45.259722,61.538462,2.761859,4.8,4.222222,3.625,4.857143,4.555556,3.777778,37.4, , , , ,12.131111,0.25,0.125,0.2,0.142857,1,0.454545, , , ,0.272727,0.125,0.210526,229,0.1,25,2,9.16,1,5
6,0,19,1,3,1,2,18.740556, , , , , ,6.47963,5.333333,5.333333,5.5,3,4365.92065,60,5.618333,3.5,39.141111,25,2.677564,3.8,3.333333,3.5,3.857143,3.666667,3.555556,54.2,4.709444,0.076923,0.142857,0.1,4.32,0.076923,0.428571,0.2,0.125,0.25,0.166667,0,0.142857,0.058824,0,0.428571,0.176471,92,0.09,3,6,30.66666667,2,5
7,0,20,1,3,2,3,20.566389, , , , , ,7.832407,6.166667,3.833333,6.5,3,6446.7956,77.5,5.471667,4.8,44.151282,71.428571,2.430128,4.9,4.555556,4.875,5,4.888889,4.777778,34.6, , , , ,13.845833,0.285714,0.333333,0.3,0.428571,1,0.6, , , ,0.285714,0.333333,0.3,217,0,30,0,7.233333333,1,5
8,0,21,1,3,1,1,16.651944, , , , , ,3.576852,7,5.833333,6.666667,1,3760.491875,62.5,2.703333,4.2,37.248958,58.823529,2.018269,4.9,4.111111,4.375,4.714286,4.777778,4.444444,54,4.180278,0.428571,0.5,0.45,3.380278,0.357143,0.333333,0.35,0.5,0.666667,0.538462,0.444444,0.333333,0.4,0.333333,0.333333,0.333333,138,0.02,16,2,8.625,2,5
9,0,19,1,2,2,3,18.131111, , , , , ,5.800926,4.666667,5.166667,6,3,4153.833075,70,4.633333,3.3,40.494048,26.666667,2.234615,4.3,3,3.5,3.714286,4,3.111111,51, , , , ,7.700556,0.285714,0.333333,0.3,0.285714,1,0.5, , , ,0.285714,0.333333,0.3,174,0.05,21,0,8.285714286,1,4
10,0,22,1,2,2,5,17.018056,85,80,3,4,3,4.328704,5,5.5,5.833333,3,3920.495075,72.5,3.546667,3.5,52.65,75,2.008654,4.4,3.222222,3.375,3.428571,3.888889,3.333333,72.6, , , , ,7.264444,0.071429,0.166667,0.1,0.4,0.6,0.5, , , ,0.071429,0.166667,0.1,339,0.04,35,2,9.685714286,1,4
