ID,WJAPWC54,INCNTM54,THTPEC1F,WJAPWCG5
1,428,3.772319557,25,508
2,417,6.254574489,9,530
3,428,5.365076704,18,519
4,435,3.027480205,20,511
5,399,1.591289782,11,499
6,441,1.664219285,22,516
7,428,3.904517932,23,525
8,441,5.654189755,24,522
9,412,1.370533529,16,499
10,444,2.129216847,20,502
11,389,1.663450662,2,489
12,441,0.807999192,11,508
13,379,3.772319557,14,505
14,431,1.796526715,15,511
15,431,2.096089139,10,496
16,379,0.820176338,15,502
17,408,2.129216847,4,489
18,435,3.127287245,30,522
19,438,1.463836583,14,522
20,417,2.661521059,10,519
21,441,1.508927823,18,502
22,441,3.326901324,24,522
23,408,0.135032269,20,492
24,431,1.663450662,29,496
25,454,3.787496213,6,519
26,417,1.357005541,11,508
27,421,1.663450662,15,502
28,424,2.777497223,4,492
29,454,1.463836583,12,519
30,431,1.13114645,14,519
31,428,2.827094877,15,511
32,431,3.326901324,16,519
33,412,0.293728888,10,502
34,424,2.940178672,17,519
35,412,1.264222503,15,499
36,435,3.332996667,12,522
37,399,1.996140794,10,485
38,424,1.497105596,10,508
39,356,2.705184851,12,492
40,394,2.741366691,21,505
41,441,3.534996465,14,511
42,417,7.125492497,14,508
43,431,0.908710218,24,508
44,421,0.244774074,0,469
45,408,1.978966414,23,514
46,431,4.650024474,17,519
47,399,2.2622929,31,499
48,435,2.927673165,18,525
49,428,2.794597112,11,516
50,417,12.72192695,11,496
51,428,1.978966414,22,511
52,421,1.922424517,22,508
53,417,0.500956408,18,492
54,424,0.848128463,19,514
55,424,2.682538352,15,516
56,428,2.487843492,19,522
57,404,0.900576369,11,481
58,417,7.712297762,20,511
59,444,3.326901324,20,505
60,448,2.528445006,11,514
61,451,5.323042119,17,514
62,421,0.500250125,10,485
63,412,6.653802648,17,516
64,399,1.67658647,5,481
65,394,1.596912636,6,496
66,428,4.990351986,6,516
67,431,6.70634588,22,528
68,444,2.870064549,12,536
69,356,0.703517588,11,461
