id,breakfast,trait,hrsstudy,success,item1,item2,item3,item4,item5,motscore,gpa
1,Y,L,8,90,4,1,5,2,5,99,4
2,N,L,5,75,4,1,5,2,4,94,3.9
3,Y,O,8,95,3,2,4,1,4,98,3.9
4,Y,O,15,70,5,2,4,1,4,93,3.7
5,Y,L,4,64,3,3,4,2,5,99,3.7
6,N,O,7,93,4,2,5,1,5,90,3.6
7,Y,L,14,98,4,5,5,4,5,92,3.6
8,N,L,19,80,3,3,4,4,4,87,3.4
9,N,L,10,70,3,2,4,1,5,87,3.3
10,N,O,15,90,2,4,1,3,1,90,3.2
11,N,R,12,100,5,2,4,1,3,85,3.1
12,Y,L,9,70,4,2,5,1,5,88,3.1
13,N,R,8,90,3,2,4,1,4,90,3.1
14,Y,O,15,4,4,1,5,2,5,86,3
15,Y,L,4,45,4,2,5,1,5,80,2.9
16,Y,L,8,95,5,2,4,1,5,83,2.7
17,Y,G,18,99,4,1,5,2,4,79,2.6
18,Y,G,7,100,4,1,5,2,4,70,2.4
19,N,L,12,100,1,4,1,3,2,73,2.3
20,N,R,11,80,4,2,4,1,5,71,2.2
21,Y,R,6,79,2,4,3,5,3,66,2.1
22,N,L,16,99,3,3,2,4,3,69,1.8
23,N,O,5,95,5,2,5,1,5,64,1.7
24,Y,O,12,100,4,2,4,1,5,66,1.4
25,Y,L,7,80,4,1,5,2,5,64,1
26,Y,L,15,100,3,1,5,2,5,95,4
27,Y,L,12,95,1,5,2,4,2,97,3.8
28,N,O,10,100,5,2,5,1,5,90,3.6
29,N,O,5,85,3,2,4,1,4,93,3.3
30,N,O,5,80,2,4,1,5,1,95,3.7
31,N,R,5,88,4,3,5,4,5,90,3.4
32,Y,L,10,100,4,3,4,2,3,93,3.6
33,Y,O,8,88,5,2,5,1,5,87,3.4
34,N,L,15,90,5,1,4,2,4,80,3.3
35,Y,O,14,90,5,1,4,2,4,50,3.2
36,N,L,10,85,5,1,4,2,4,85,3
37,Y,L,12,100,4,1,5,2,5,88,2.8
38,N,R,12,100,4,2,5,1,4,90,3.1
39,N,I,2,85,3,2,4,1,4,86,3
40,Y,G,10,85,5,2,5,1,5,50,2.5
41,N,I,25,66,4,1,5,2,5,60,2.7
42,Y,O,6,100,3,3,2,4,3,25,2.6
43,Y,D,12,75,1,4,2,5,1,70,2.4
44,N,O,12,90,5,2,5,1,5,65,2.3
45,N,L,12,90,4,1,5,2,4,30,2.2
